CodDecolare;CodAterizare;TimpStart;Durata;AzimutInitial;AzimutFinal;Descriere
ATL;CAN;13:14:50;101;S 31 E;N 83 V;Airbus,154,8000
OTO;KUL;13:15:10;115;0;N 73 V;Boeing,169,9000
SIN;DEL;13:15:30;60;S 72 E;N 39 V;Embraer,65,9000
IST;MIA;13:15:50;42;S 39 V;N 50 E;Airbus,144,6000
CPH;OTO;13:16:10;29;N 19 V;0;Comac,64,6000
LAX;DXB;13:16:30;24;N 10 E;S 88 V;Boeing,111,13000
ICN;OTO;13:16:50;141;S 1 V;0;Airbus,176,11000
HKG;OTO;13:17:10;130;S 83 V;0;Airbus,179,9000
SIN;OTO;13:17:30;7;N 73 V;0;Embraer,41,5000
PVG;OTO;13:17:50;38;N 56 V;0;Boeing,154,5000
DEN;PEK;13:18:10;109;N 37 V;S 90 E;Boeing,167,14000
CLT;LHR;13:18:30;1;S 2 E;N 50 V;Boeing,243,12000
DEL;ATL;13:18:50;66;N 4 V;S 84 E;Airbus,127,7000
CAN;OTO;13:19:10;8;S 43 V;0;Boeing,108,7000
FRA;GRU;13:19:30;102;S 55 E;N 38 V;Comac,54,13000
MUC;MAD;13:19:50;148;N 46 E;S 75 V;Airbus,147,5000
CPH;CAN;13:20:10;31;N 25 V;S 24 E;Comac,71,7000
ORD;DWC;13:20:30;70;N 31 V;S 72 E;Airbus,161,8000
OTO;FRA;13:20:50;82;0;N 29 V;Boeing,100,5000
ORD;AMS;13:21:10;4;N 1 E;S 22 V;Airbus,110,7000
MEX;JFK;13:21:30;87;S 56 E;N 48 V;Airbus,130,9000
DWC;DFW;13:21:50;109;S 45 E;N 24 V;Embraer,75,8000
HEL;MAD;13:22:10;37;N 79 E;S 20 V;Boeing,197,11000
AUH;HEL;13:22:30;22;N 62 V;S 31 E;Airbus,166,11000
OTO;MUC;13:22:50;115;0;N 36 E;Boeing,196,6000
GRU;ZRH;13:23:10;12;N 42 V;S 17 E;Boeing,130,8000
DEN;OTO;13:23:30;104;S 52 E;0;Boeing,140,8000
BKK;AMS;13:23:50;66;N 18 V;S 18 E;Embraer,78,13000
OTO;DEN;13:24:10;72;0;S 66 V;Airbus,163,9000
IST;DXB;13:24:30;71;S 13 V;N 37 E;Boeing,103,10000
DEN;OTO;13:24:50;150;S 48 V;0;Comac,70,8000
ORD;DFW;13:25:10;98;N 26 V;S 77 E;Embraer,62,5000
OTO;CAN;13:25:30;43;0;N 84 V;Comac,78,7000
LAX;SYD;13:25:50;44;S 30 E;N 49 V;Embraer,68,12000
MEX;OTO;13:26:10;94;N 77 V;0;Boeing,235,7000
OTO;SIN;13:26:30;136;0;S 21 E;Embraer,59,10000
SYD;GRU;13:26:50;144;N 61 E;S 19 V;Comac,44,8000
CDG;OTO;13:27:10;135;S 78 E;0;Airbus,138,12000
SIN;AMS;13:27:30;109;N 82 V;S 55 E;Boeing,129,13000
PVG;OTO;13:27:50;8;N 56 V;0;Embraer,55,12000
AMS;AUH;13:28:10;117;S 30 E;N 27 V;Embraer,63,5000
OTO;MAD;13:28:30;29;0;N 40 V;Comac,74,7000
YYZ;DEN;13:28:50;16;S 53 V;N 26 E;Embraer,57,13000
CLT;OTO;13:29:10;72;N 69 E;0;Comac,74,9000
IST;YYZ;13:29:30;19;N 55 V;S 48 E;Airbus,119,14000
OTO;AUH;13:29:50;70;0;N 83 V;Embraer,71,6000
MIA;LAX;13:30:10;131;S 35 V;N 73 E;Comac,47,6000
MAD;KUL;13:30:30;12;N 70 E;S 36 V;Airbus,106,9000
OTO;ARN;13:30:50;45;0;N 23 V;Boeing,183,12000
ICN;OTO;13:31:10;144;S 26 E;0;Embraer,64,6000
PEK;HEL;13:31:30;65;N 28 E;S 63 V;Comac,63,6000
OTO;DXB;13:31:50;56;0;S 18 V;Embraer,67,9000
ICN;OTO;13:32:10;107;S 40 E;0;Comac,75,6000
SYD;SZX;13:32:30;16;S 84 E;N 65 V;Comac,50,12000
PVG;MAD;13:32:50;112;S 30 E;N 71 V;Airbus,101,11000
OTO;AMS;13:33:10;93;0;S 3 V;Comac,59,8000
GRU;OTO;13:33:30;110;N 39 V;0;Airbus,137,9000
MEX;KUL;13:33:50;90;S 25 E;N 88 V;Airbus,163,7000
OTO;SZX;13:34:10;141;0;S 20 E;Airbus,132,12000
YYZ;PEK;13:34:30;67;S 62 E;N 20 V;Comac,43,6000
BKK;OTO;13:34:50;34;N 70 E;0;Comac,71,11000
DEL;YYZ;13:35:10;26;N 24 V;S 82 E;Embraer,40,10000
GRU;OTO;13:35:30;35;N 25 V;0;Airbus,109,6000
ORD;HEL;13:35:50;44;N 19 V;S 73 E;Boeing,144,9000
OTO;CLT;13:36:10;29;0;N 26 E;Embraer,47,14000
MUC;CGK;13:36:30;15;S 29 V;N 67 E;Airbus,121,6000
MAD;OTO;13:36:50;131;S 71 V;0;Boeing,157,6000
SYD;HND;13:37:10;38;N 56 E;S 73 V;Airbus,134,9000
SYD;OTO;13:37:30;107;N 52 V;0;Embraer,59,7000
MUC;AUH;13:37:50;87;S 16 E;N 43 V;Boeing,175,12000
CDG;MUC;13:38:10;73;N 6 E;S 56 V;Embraer,59,12000
OTO;HEL;13:38:30;22;0;S 42 E;Comac,73,13000
JFK;AUH;13:38:50;43;S 23 V;N 86 E;Comac,44,8000
ARN;OTO;13:39:10;46;N 56 E;0;Embraer,79,12000
ICN;GRU;13:39:30;125;N 35 E;S 78 V;Comac,42,8000
OTO;DFW;13:39:50;67;0;N 9 V;Comac,60,5000
KUL;OTO;13:40:10;90;S 35 V;0;Comac,70,8000
DWC;ATL;13:40:30;41;S 7 E;N 66 V;Embraer,59,12000
DXB;OTO;13:40:50;150;N 33 E;0;Boeing,237,9000
CAN;CDG;13:41:10;58;N 38 V;S 72 E;Boeing,120,10000
HKG;PVG;13:41:30;75;S 21 E;N 19 V;Boeing,235,8000
CLT;OTO;13:41:50;29;N 73 E;0;Boeing,215,9000
BKK;CGK;13:42:10;61;S 75 V;N 70 E;Comac,62,7000
OTO;MUC;13:42:30;128;0;N 38 V;Embraer,45,11000
OSL;FRA;13:42:50;10;S 43 E;N 75 V;Airbus,105,6000
PVG;ORD;13:43:10;14;N 30 E;S 47 V;Boeing,217,7000
DOH;GRU;13:43:30;30;N 85 V;S 43 E;Boeing,143,9000
MEX;OSL;13:43:50;146;N 27 V;S 49 E;Comac,64,6000
ATL;MIA;13:44:10;106;N 76 E;S 80 V;Airbus,154,8000
SIN;LAX;13:44:30;82;S 73 V;N 45 E;Boeing,149,9000
KUL;MIA;13:44:50;13;N 12 E;S 23 V;Embraer,54,11000
OTO;YYZ;13:45:10;2;0;S 47 V;Embraer,65,6000
CAN;OTO;13:45:30;103;N 13 E;0;Comac,64,11000
ARN;CLT;13:45:50;97;N 56 E;S 78 V;Comac,73,11000
DEL;PVG;13:46:10;108;S 59 V;N 9 E;Comac,69,14000
KUL;SZX;13:46:30;142;S 76 V;N 34 E;Embraer,79,5000
IST;OTO;13:46:50;147;S 52 E;0;Boeing,217,12000
SZX;DXB;13:47:10;111;S 87 V;N 17 E;Comac,65,11000
ICN;OTO;13:47:30;62;N 60 E;0;Airbus,111,10000
HEL;OTO;13:47:50;24;S 26 V;0;Boeing,210,10000
DXB;OTO;13:48:10;114;N 57 E;0;Comac,63,8000
DOH;OTO;13:48:30;52;N 27 E;0;Embraer,52,10000
KUL;OTO;13:48:50;135;N 35 E;0;Comac,48,12000
DEN;LHR;13:49:10;107;N 45 V;S 46 E;Airbus,108,10000
ZRH;CPH;13:49:30;15;N 20 V;S 56 E;Comac,46,9000
OTO;LHR;13:49:50;136;0;N 53 V;Embraer,47,5000
OTO;SIN;13:50:10;31;0;S 34 V;Airbus,141,7000
OTO;ATL;13:50:30;112;0;N 74 V;Boeing,127,8000
OTO;LHR;13:50:50;37;0;N 39 V;Comac,69,5000
OTO;AUH;13:51:10;27;0;S 70 V;Airbus,151,13000
OTO;ZRH;13:51:30;117;0;N 83 V;Boeing,216,6000
DXB;DFW;13:51:50;62;S 33 E;N 42 V;Airbus,117,12000
SIN;HND;13:52:10;67;N 73 E;S 83 V;Embraer,56,7000
AMS;SZX;13:52:30;33;N 74 E;S 2 V;Comac,68,9000
GRU;CPH;13:52:50;44;S 61 E;N 11 V;Embraer,41,6000
OTO;CPH;13:53:10;7;0;S 89 V;Boeing,242,9000
OTO;DEN;13:53:30;32;0;S 74 E;Comac,67,5000
ICN;DEN;13:53:50;61;N 77 V;S 72 E;Embraer,68,10000
DWC;DOH;13:54:10;38;S 27 V;N 12 E;Embraer,43,13000
DFW;OSL;13:54:30;15;S 24 V;N 7 E;Comac,60,12000
CGK;SYD;13:54:50;122;N 63 E;S 69 V;Embraer,70,12000
YYZ;PEK;13:55:10;120;N 55 E;S 12 V;Embraer,52,12000
MEX;OTO;13:55:30;141;N 51 V;0;Comac,54,11000
AUH;OTO;13:55:50;32;N 65 V;0;Airbus,134,12000
OTO;CDG;13:56:10;130;0;S 55 E;Airbus,171,14000
JFK;ORD;13:56:30;34;S 29 E;N 6 V;Comac,66,6000
DXB;SIN;13:56:50;90;S 37 V;N 18 E;Boeing,110,9000
OTO;MIA;13:57:10;97;0;N 38 E;Comac,67,13000
OTO;SZX;13:57:30;94;0;N 40 E;Comac,56,8000
OTO;CPH;13:57:50;147;0;N 6 V;Comac,70,7000
OTO;ORD;13:58:10;99;0;S 1 V;Boeing,169,14000
OTO;PVG;13:58:30;13;0;N 16 E;Comac,63,12000
OTO;CGK;13:58:50;99;0;N 44 E;Boeing,175,14000
DEN;DXB;13:59:10;37;S 14 E;N 8 V;Boeing,230,12000
MIA;DFW;13:59:30;36;S 74 E;N 34 V;Embraer,77,12000
PVG;LHR;13:59:50;11;N 88 V;S 69 E;Airbus,159,13000
ZRH;OTO;14:00:10;84;S 6 E;0;Comac,46,6000
MUC;OTO;14:00:30;116;N 3 V;0;Comac,79,12000
JFK;OTO;14:00:50;46;N 8 V;0;Comac,76,8000
CGK;OTO;14:01:10;16;N 58 V;0;Embraer,67,6000
FRA;OTO;14:01:30;81;N 80 V;0;Embraer,45,8000
LHR;OTO;14:01:50;120;S 37 V;0;Airbus,176,6000
SZX;PVG;14:02:10;52;S 63 V;N 86 E;Comac,56,12000
DEN;CLT;14:02:30;2;N 82 V;S 10 E;Airbus,155,10000
OTO;MAD;14:02:50;96;0;S 15 V;Boeing,247,11000
OTO;DEN;14:03:10;42;0;N 3 V;Embraer,79,13000
GRU;ORD;14:03:30;32;S 39 V;N 14 E;Comac,75,12000
CPH;YYZ;14:03:50;56;N 6 V;S 81 E;Boeing,211,12000
DXB;ATL;14:04:10;103;S 5 V;N 39 E;Embraer,55,13000
HND;OTO;14:04:30;97;N 61 V;0;Comac,72,8000
DEL;OTO;14:04:50;15;N 29 E;0;Airbus,120,11000
DWC;HKG;14:05:10;29;N 48 E;S 63 V;Boeing,241,11000
ORD;MAD;14:05:30;84;N 3 V;S 50 E;Boeing,198,12000
SIN;OTO;14:05:50;35;N 33 V;0;Comac,78,7000
HKG;OTO;14:06:10;141;N 68 E;0;Airbus,151,12000
MUC;OTO;14:06:30;82;S 36 V;0;Embraer,61,9000
BKK;OTO;14:06:50;10;S 16 E;0;Airbus,106,8000
AUH;OTO;14:07:10;117;N 67 V;0;Comac,44,9000
CLT;OTO;14:07:30;100;S 34 E;0;Embraer,71,13000
DEL;PEK;14:07:50;74;N 21 V;S 2 E;Comac,75,12000
ZRH;DXB;14:08:10;56;N 75 V;S 21 E;Airbus,107,6000
LAX;DFW;14:08:30;80;S 25 E;N 90 V;Comac,73,9000
HEL;MEX;14:08:50;147;S 24 V;N 8 E;Airbus,118,8000
PVG;OTO;14:09:10;104;S 89 V;0;Airbus,158,12000
JFK;CPH;14:09:30;95;S 46 V;N 42 E;Airbus,115,5000
ICN;MUC;14:09:50;48;S 90 E;N 80 V;Boeing,194,11000
AUH;OTO;14:10:10;2;N 46 E;0;Boeing,217,6000
YYZ;OTO;14:10:30;17;N 25 V;0;Boeing,190,5000
SIN;OTO;14:10:50;117;S 26 V;0;Embraer,78,12000
DEL;AUH;14:11:10;37;N 69 V;S 6 E;Airbus,171,9000
SYD;ZRH;14:11:30;64;S 11 V;N 75 E;Boeing,180,14000
OTO;SZX;14:11:50;40;0;N 25 V;Comac,67,13000
OTO;MIA;14:12:10;81;0;S 8 V;Boeing,107,5000
OTO;ORD;14:12:30;29;0;N 23 E;Airbus,138,10000
OTO;BKK;14:12:50;74;0;S 52 E;Boeing,142,10000
OTO;CLT;14:13:10;80;0;N 25 E;Boeing,201,10000
OTO;DEN;14:13:30;114;0;S 1 V;Airbus,105,14000
CAN;HKG;14:13:50;148;N 13 V;S 40 E;Embraer,71,10000
BKK;DFW;14:14:10;16;N 62 E;S 83 V;Embraer,67,11000
CPH;ICN;14:14:30;39;S 15 V;N 64 E;Embraer,43,6000
PEK;OTO;14:14:50;139;N 37 V;0;Comac,49,6000
AUH;OTO;14:15:10;68;S 74 E;0;Comac,61,11000
MEX;OTO;14:15:30;89;N 21 V;0;Airbus,140,10000
KUL;OTO;14:15:50;40;N 27 V;0;Boeing,115,5000
DXB;OTO;14:16:10;58;S 10 E;0;Airbus,116,7000
ATL;OTO;14:16:30;147;S 58 V;0;Airbus,179,11000
PEK;OTO;14:16:50;94;S 14 E;0;Comac,61,5000
CDG;PEK;14:17:10;122;S 3 V;N 78 E;Comac,43,9000
DEL;DFW;14:17:30;133;N 60 V;S 33 E;Boeing,108,8000
OTO;ARN;14:17:50;105;0;N 20 E;Comac,71,10000
OTO;DOH;14:18:10;130;0;N 6 E;Embraer,72,7000
OTO;HEL;14:18:30;15;0;S 26 V;Airbus,124,5000
OTO;DXB;14:18:50;87;0;S 82 E;Embraer,42,14000
PVG;CGK;14:19:10;136;S 54 V;N 58 E;Comac,75,10000
DXB;MAD;14:19:30;98;S 81 V;N 48 E;Embraer,47,13000
FRA;OTO;14:19:50;57;N 55 V;0;Embraer,74,14000
DEL;SIN;14:20:10;16;N 64 E;S 58 V;Boeing,241,12000
MUC;SIN;14:20:30;38;N 90 V;S 68 E;Boeing,112,13000
CAN;OTO;14:20:50;84;S 62 E;0;Airbus,178,12000
SIN;OTO;14:21:10;35;N 6 E;0;Boeing,227,13000
CLT;OTO;14:21:30;6;S 17 E;0;Boeing,247,14000
PEK;OTO;14:21:50;80;S 86 V;0;Boeing,132,8000
ARN;OTO;14:22:10;146;N 10 V;0;Airbus,158,8000
HKG;OTO;14:22:30;127;N 32 V;0;Comac,72,7000
SYD;OTO;14:22:50;83;N 54 V;0;Comac,64,7000
MUC;LHR;14:23:10;71;S 63 V;N 15 E;Embraer,50,13000
HND;OSL;14:23:30;101;S 47 V;N 81 E;Embraer,64,13000
DFW;OTO;14:23:50;137;S 63 V;0;Embraer,54,7000
MUC;ATL;14:24:10;8;N 6 V;S 66 E;Airbus,161,14000
ORD;HEL;14:24:30;18;N 42 V;S 35 E;Boeing,131,13000
AMS;CPH;14:24:50;121;N 37 V;S 45 E;Boeing,194,14000
DOH;ICN;14:25:10;130;S 31 V;N 67 E;Boeing,138,13000
AMS;OTO;14:25:30;146;N 82 E;0;Comac,69,7000
DXB;SZX;14:25:50;110;S 55 V;N 89 E;Airbus,138,10000
ATL;DEN;14:26:10;143;S 65 E;N 23 V;Airbus,138,5000
HND;OTO;14:26:30;96;S 2 E;0;Comac,64,9000
OTO;FRA;14:26:50;1;0;N 81 E;Boeing,214,14000
OTO;ATL;14:27:10;64;0;S 26 V;Boeing,236,13000
OTO;PEK;14:27:30;66;0;S 1 V;Comac,52,13000
OTO;SYD;14:27:50;31;0;N 76 V;Boeing,144,7000
OTO;HEL;14:28:10;132;0;N 44 E;Embraer,46,14000
MIA;JFK;14:28:30;27;S 59 E;N 56 V;Comac,68,12000
MUC;LHR;14:28:50;142;N 58 V;S 56 E;Airbus,123,10000
GRU;OTO;14:29:10;64;S 1 E;0;Airbus,159,8000
CAN;SIN;14:29:30;83;S 1 E;N 70 V;Airbus,117,6000
DEN;OTO;14:29:50;9;S 44 V;0;Boeing,131,14000
CPH;CDG;14:30:10;83;N 45 E;S 27 V;Comac,69,8000
AUH;AMS;14:30:30;102;S 20 E;N 71 V;Comac,66,11000
OSL;MIA;14:30:50;78;S 6 V;N 73 E;Embraer,56,8000
CDG;OTO;14:31:10;116;S 7 V;0;Comac,56,10000
DOH;DEN;14:31:30;91;N 15 V;S 28 E;Embraer,79,10000
OTO;JFK;14:31:50;99;0;S 4 E;Comac,69,14000
